from,to,in_degree_from,in_degree_to,out_degree_from,out_degree_to,overall_degree_from,overall_degree_to,label
3260961,886206,288,545,7637,0,7925,545,1
1497278,4476719,1869,456,35111,0,36980,456,1
3561502,2835006,1144,615,68800,0,69944,615,1
1301602,4460340,2,3,408,0,410,3,1
748019,3035066,675,113,18480,0,19155,113,1
2405789,3525370,1010,83,93387,0,94397,83,1
703912,1495914,119,3,5153,0,5272,3,1
1250021,4552946,4637,11,85913,0,90550,11,1
1654099,4591592,1180,268,26347,0,27527,268,1
276216,4621510,312,19,12600,0,12912,19,1
932720,1343701,1411,19,111323,0,112734,19,1
1215626,418476,74,209,921,0,995,209,1
1135323,1586531,169,189,12240,0,12409,189,1
985610,4706421,109,81,2336,199,2445,280,1
1301815,3647360,752,3,48944,0,49696,3,1
4628096,2951354,219,76,5074,0,5293,76,1
4360960,630567,1642,85,110084,0,111726,85,1
765601,1487259,1485,53,101510,0,102995,53,1
307250,4459307,919,37,35588,0,36507,37,1
3387987,403862,268,14,19035,0,19303,14,1
462298,1955941,414,68,10933,0,11347,68,1
987626,3376319,238,92,1743,0,1981,92,1
2729885,2500918,79,5,1096,0,1175,5,1
687713,141751,436,1,47160,0,47596,1,1
159285,535092,240,37,4650,0,4890,37,1
1301815,2604378,752,35,48944,0,49696,35,1
3676295,1365589,374,1,70881,0,71255,1,1
427805,817733,483,1,156906,0,157389,1,1
4853234,2664356,1256,2,29554,0,30810,2,1
1533546,1635650,703,77,22095,0,22798,77,1
2827436,3662716,882,18,271525,0,272407,18,1
3509903,298874,1530,1,509445,0,510975,1,1
3942994,4392198,138,334,2039,0,2177,334,1
1039890,2518830,8,9,122,0,130,9,1
4417253,2708590,1130,27,68389,0,69519,27,1
448517,2206798,625,68,12450,0,13075,68,1
1497278,3636714,1869,2,35111,0,36980,2,1
2353951,1243960,29,2,164,0,193,2,1
378943,686846,340,893,12563,0,12903,893,1
3898535,2527667,59,79,9303,0,9362,79,1
3513476,1426579,24,45,1746,0,1770,45,1
2897926,4396370,565,10,25983,0,26548,10,1
4360960,4199019,1642,17,110084,0,111726,17,1
3841840,1927845,195,38,2931,0,3126,38,1
1527599,479393,176,29,3575,0,3751,29,1
1221958,4228929,51,314,1736,0,1787,314,1
4106142,2549160,306,298,3436,0,3742,298,1
85156,3389431,73,114,1273,0,1346,114,1
1163500,750653,398,269,9540,0,9938,269,1
1588705,2319186,1000,130,11879,0,12879,130,1
4836036,1387430,73,24,501,0,574,24,1
1785615,3845119,153,461,2575,28609,2728,29070,1
4183784,1272254,931,501,59894,0,60825,501,1
1541866,3142272,542,32,16481,0,17023,32,1
1121799,2052537,61,4,367,0,428,4,1
532681,82132,433,49,35023,0,35456,49,1
2375878,2616784,248,623,14925,0,15173,623,1
1086912,345889,907,29,33396,0,34303,29,1
781211,1303796,976,155,51781,0,52757,155,1
3889645,76128,89,45,186,234,275,279,1
3085744,4598624,125,118,345,2264,470,2382,1
1664044,4718619,150,15,1719,0,1869,15,1
817090,4684905,188,237,4245,0,4433,237,1
551730,4288281,25,8,1271,0,1296,8,1
805360,4651011,1514,6,119306,0,120820,6,1
2950311,1943014,807,10,85116,0,85923,10,1
2827436,509499,882,5,271525,0,272407,5,1
670587,3575518,651,6,9779,0,10430,6,1
4451491,1253056,817,63,8836,0,9653,63,1
3431613,882930,234,1,1959,0,2193,1,1
3352799,1890348,227,19,378,14,605,33,1
1103332,1163180,732,606,59415,5885,60147,6491,1
4615777,1105172,31,11,296,0,327,11,1
3361377,251253,4841,2,761793,0,766634,2,1
1588705,1647316,1000,42,11879,0,12879,42,1
1222206,8546,256,9,1387,0,1643,9,1
2522799,2768414,253,216,3062,80,3315,296,1
3633019,3913270,746,34,32317,0,33063,34,1
3361377,37299,4841,2,761793,0,766634,2,1
1117046,1894060,188,154,2115,0,2303,154,1
1123367,1173719,387,1,3721,0,4108,1,1
3361377,3234925,4841,89,761793,0,766634,89,1
765601,2155619,1485,38,101510,0,102995,38,1
2629632,316795,97,70,828,0,925,70,1
4777191,3562120,86,32,3938,0,4024,32,1
3280389,2968158,1101,5,411419,0,412520,5,1
2490914,839842,570,1,22965,0,23535,1,1
2950311,4738862,807,16,85116,0,85923,16,1
3914135,1554412,2152,54,60084,0,62236,54,1
3003173,1325540,111,8,1004,0,1115,8,1
2696500,4316830,267,42,4128,0,4395,42,1
3638272,3355703,2022,1,370904,0,372926,1,1
805258,1848053,167,114,2933,0,3100,114,1
4011264,4009148,1360,2,116777,0,118137,2,1
2668463,3137585,116,1196,1922,77354,2038,78550,1
1145179,1588330,50,694,133,10280,183,10974,1
817090,3025618,188,134,4245,0,4433,134,1
3137585,2561059,1196,139,77354,0,78550,139,1
111729,4209806,134,2,584,0,718,2,1
4680990,3773705,36,76,240,0,276,76,1
3509903,290979,1530,1,509445,0,510975,1,1
3676295,2886398,374,2,70881,0,71255,2,1
2882832,3533041,146,68,887,0,1033,68,1
573641,794602,253,10,5074,0,5327,10,1
1839283,3985852,765,62,36658,0,37423,62,1
3449530,1943538,717,64,73648,0,74365,64,1
4219126,2088360,60,114,1362,0,1422,114,1
4574571,3058267,186,125,6965,0,7151,125,1
4108836,2394976,97,335,4234,10973,4331,11308,1
2961801,2648084,1483,28,101962,0,103445,28,1
3509903,3190563,1530,19,509445,0,510975,19,1
733639,3036996,259,3,3744,0,4003,3,1
811214,1550553,176,4,675,0,851,4,1
380998,4199725,200,7,8943,0,9143,7,1
2405789,570487,1010,33,93387,0,94397,33,1
3676295,4853310,374,8,70881,0,71255,8,1
4180345,2772113,83,792,868,42907,951,43699,1
4333770,2246365,100,83,4077,0,4177,83,1
3930937,2728114,225,119,8777,0,9002,119,1
1580988,40066,2821,2,400133,0,402954,2,1
2075015,2587613,2664,45,85781,0,88445,45,1
2274892,2416627,24,104,579,0,603,104,1
1478080,1101894,593,150,7009,0,7602,150,1
4189798,991196,140,66,1874,0,2014,66,1
3280389,1810158,1101,1,411419,0,412520,1,1
841308,1918740,102,96,3967,0,4069,96,1
3278135,2426489,358,521,7252,2911,7610,3432,1
1234540,4745279,1071,117,75251,0,76322,117,1
3566847,1868559,155,121,1106,27,1261,148,1
3638272,1998212,2022,47,370904,586,372926,633,1
2968462,2887012,105,60,814,331,919,391,1
3229735,482139,283,601,1354,0,1637,601,1
3569179,2651177,1064,78,40015,0,41079,78,1
3844858,4730430,1591,57,28974,0,30565,57,1
1533546,2403993,703,3,22095,0,22798,3,1
2206273,1010682,235,35,4892,0,5127,35,1
3031851,2299632,84,30,291,0,375,30,1
2502456,3655613,719,46,50725,0,51444,46,1
755739,385706,1117,20,58043,0,59160,20,1
1534362,3235623,1531,33,105859,0,107390,33,1
3638272,3046802,2022,2,370904,0,372926,2,1
3072769,936451,187,48,3430,0,3617,48,1
3638272,1603045,2022,5,370904,0,372926,5,1
4209323,2253058,1630,17,89460,0,91090,17,1
2406672,393123,22,2,1754,0,1776,2,1
1225580,1001208,159,203,2943,0,3102,203,1
2516076,4359443,1455,3,77782,0,79237,3,1
4619326,1628057,539,343,22721,0,23260,343,1
1389617,4072026,482,29,2070,0,2552,29,1
4637355,2507284,150,22,1032,0,1182,22,1
3316788,4679642,20,100,1710,0,1730,100,1
1937293,1609804,434,1,16761,0,17195,1,1
3438576,3676150,3424,125,137753,7579,141177,7704,1
1968010,928476,786,95,10371,0,11157,95,1
4023687,2774170,69,1,7295,0,7364,1,1
2853969,1741339,1051,2,42591,0,43642,2,1
1560049,3697894,1121,85,12468,0,13589,85,1
4672596,1598357,107,56,3286,0,3393,56,1
2281658,4268239,38,1117,943,124,981,1241,1
2405789,811772,1010,9,93387,0,94397,9,1
2405789,3389546,1010,47,93387,0,94397,47,1
954784,4289249,567,1,14450,0,15017,1,1
2998026,342726,919,3,24182,0,25101,3,1
615890,4428958,239,320,2229,0,2468,320,1
4209323,1902115,1630,64,89460,0,91090,64,1
3262492,500365,113,32,387,0,500,32,1
3668051,3129302,89,16,3044,0,3133,16,1
2887240,963959,1143,1,118405,0,119548,1,1
2052930,3170365,407,15,8479,0,8886,15,1
3235479,2854284,999,80,66486,0,67485,80,1
3134846,2819729,69,143,5634,0,5703,143,1
4653941,4169680,951,2,45883,0,46834,2,1
1580988,1871567,2821,2,400133,0,402954,2,1
3294702,1046968,991,38,68888,0,69879,38,1
500752,553502,14,4,166,0,180,4,1
4782707,3247153,513,27,31665,0,32178,27,1
1575009,3950322,429,10,37745,0,38174,10,1
4653941,2627176,951,4,45883,0,46834,4,1
354788,4423435,203,1,5964,0,6167,1,1
2122741,2808028,190,168,6085,0,6275,168,1
3509903,4165071,1530,10,509445,0,510975,10,1
3644757,4729020,21,1,244,0,265,1,1
3065808,3429221,1235,15,82317,0,83552,15,1
2569009,4177920,424,34,13423,0,13847,34,1
681618,1912869,75,198,8789,0,8864,198,1
3914135,553720,2152,62,60084,0,62236,62,1
1580988,3678069,2821,1,400133,0,402954,1,1
1341178,2355727,899,154,16829,0,17728,154,1
1031334,4070033,459,1,16840,0,17299,1,1
3280389,1242266,1101,1,411419,0,412520,1,1
2891522,2385930,18,7,75,0,93,7,1
427805,1340854,483,1,156906,0,157389,1,1
318090,1879576,74,25,1957,0,2031,25,1
3610598,3753334,380,115,17343,0,17723,115,1
2403192,3088656,163,128,5302,0,5465,128,1
4258870,3139463,336,21,4963,0,5299,21,1
1901834,2410198,32,4,289,0,321,4,1
2148937,978783,672,2,47361,0,48033,2,1
3449337,2866572,34,2,1668,0,1702,2,1
427805,507409,483,1,156906,0,157389,1,1
4443577,3126851,509,73,11936,0,12445,73,1
1331940,509380,802,127,32617,0,33419,127,1
4272102,2588809,1608,18,104171,0,105779,18,1
2822651,3951791,25,1,3794,0,3819,1,1
3280389,4189582,1101,2,411419,0,412520,2,1
3954325,4549877,1743,22,16616,0,18359,22,1
501914,4494271,217,249,5217,0,5434,249,1
3065808,3198896,1235,157,82317,1397,83552,1554,1
2439199,1126233,631,67,5929,0,6560,67,1
3509903,4285163,1530,2,509445,0,510975,2,1
4527062,2707789,12,56,478,0,490,56,1
4272102,4706387,1608,63,104171,0,105779,63,1
226540,1670840,463,23,10650,0,11113,23,1
3509903,2922784,1530,2,509445,0,510975,2,1
3257465,988618,541,2,27614,0,28155,2,1
3361377,2600814,4841,7,761793,0,766634,7,1
1934836,4721796,284,38,2471,0,2755,38,1
354904,152540,3193,8,105780,0,108973,8,1
1580988,1983593,2821,1,400133,0,402954,1,1
646587,4534501,122,297,5819,0,5941,297,1
635909,1556400,179,16,6949,0,7128,16,1
3844858,4840802,1591,40,28974,0,30565,40,1
2853969,874646,1051,2,42591,0,43642,2,1
4762830,4835980,1043,19,2352,0,3395,19,1
915390,1534088,1345,2,5262,0,6607,2,1
2641557,186349,154,4,1750,0,1904,4,1
4492248,2490898,237,58,17127,0,17364,58,1
551730,2148937,25,672,1271,47361,1296,48033,1
2827436,4736069,882,2,271525,0,272407,2,1
3201367,3304867,260,217,1742,1983,2002,2200,1
3280389,625135,1101,1,411419,0,412520,1,1
4191410,1359076,1590,96,96434,0,98024,96,1
3946789,135766,261,9,5606,0,5867,9,1
4828511,1924385,113,1,2641,0,2754,1,1
2527654,1318079,39,30,1740,0,1779,30,1
988087,3846486,322,448,3765,0,4087,448,1
1774382,3227883,111,25,501,0,612,25,1
2893334,789349,889,65,30148,0,31037,65,1
4582129,537618,1231,7,10356,0,11587,7,1
3361377,1959551,4841,2,761793,0,766634,2,1
