from,to,label,in_degree_from,in_degree_to,out_degree_from,out_degree_to,overall_degree_from,overall_degree_to,bi_degree_from,bi_degree_to,in_common_friends,out_common_friends,bi_common_friends,in_total_friends,out_total_friends,bi_total_friends,transitive_friends,preference_attanchment_score,adamic_adar,adamic_adar_out_in
2824497,1962133,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2079840,2729326,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1268946,653737,0,1,8,0,0,1,8,0,0,0,0,0,9,0,0,0,8,0.0,0.0
2204585,935894,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1051081,1841214,0,3,2,0,0,3,2,0,0,0,0,0,5,0,0,0,6,0.0,0.0
616519,4162219,0,1,7,0,0,1,7,0,0,0,0,0,8,0,0,0,7,0.0,0.0
2397311,2470927,0,12,1,0,0,12,1,0,0,0,0,0,13,0,0,0,12,0.0,0.0
3773479,3394819,0,51,1,0,0,51,1,0,0,0,0,0,52,0,0,0,51,0.0,0.0
1196264,3399445,0,8,1,0,0,8,1,0,0,0,0,0,9,0,0,0,8,0.0,0.0
754682,4526645,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3757160,3160739,0,1,4,0,0,1,4,0,0,1,0,0,4,0,0,0,4,0.07380201915254651,0.0
675161,3334736,0,1,7,0,0,1,7,0,0,0,0,0,8,0,0,0,7,0.0,0.0
1047579,4337358,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2522105,1010275,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3024026,241923,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1131294,2832164,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2868756,3220007,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2481223,4528514,0,4,1,0,0,4,1,0,0,0,0,0,5,0,0,0,4,0.0,0.0
2817827,3306421,0,1,4,0,0,1,4,0,0,1,0,0,4,0,0,0,4,0.07733928142848752,0.0
3136130,4656046,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4005475,3749745,0,4,1,0,0,4,1,0,0,0,0,0,5,0,0,0,4,0.0,0.0
2696413,4170842,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
